Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Solar,Wind Onshore,start_time,Total Generation [MW]
0.0,0.0,0.0,0.01054700608849897,0.0,0.0,0.033798360419962606,0.13519344167985042,0.7989357112037969,0.0,0.021525480607891077,2024-03-08 01:00:00,20859.0
0.0,0.0,0.0,0.01051977239037919,0.0,0.0,0.03442834600487735,0.13450963515516665,0.7985463587242385,0.0,0.021995887725338305,2024-03-08 02:00:00,20913.0
0.0,0.0,0.0,0.010609567901234568,0.0,0.0,0.03510802469135803,0.13483796296296297,0.7973090277777778,0.0,0.022135416666666668,2024-03-08 03:00:00,20736.0
0.0,0.0,0.0,0.01044039483675019,0.0,0.0,0.03521260440394837,0.1335895975702354,0.7995444191343963,0.0,0.021212984054669703,2024-03-08 04:00:00,21072.0
0.0,0.0,0.0,0.010033596658494506,0.0,0.0,0.03554889675837646,0.12766730227912468,0.8074548261145919,0.0,0.019295378189412512,2024-03-08 05:00:00,22026.0
0.0,0.0,0.0,0.009511217265205152,0.0,0.0,0.03736244988484176,0.12334726605817624,0.812164121811823,0.0,0.017614944979953938,2024-03-08 06:00:00,23446.0
0.0,0.0,0.0,0.008709226850710705,0.0,0.0,0.03146824418700189,0.11979295045600197,0.8221181497001068,0.0,0.01791142880617862,2024-03-08 07:00:00,24342.0
0.0,0.0,0.0,0.008286945967438161,0.0,0.0,0.03226886535805466,0.12145816766416942,0.8199472648892981,0.0,0.018038756121039636,2024-03-08 08:00:00,23893.0
0.0,0.0,0.0,0.00864540602531869,0.0,0.0,0.029420846014732476,0.12721097437254641,0.8187993471836267,0.0,0.01592342640377575,2024-03-08 09:00:00,22671.0
0.0,0.0,0.0,0.010717363205514864,0.0,0.0,0.016533821628608357,0.15165876777251186,0.8055256355019388,0.0,0.01556441189142611,2024-03-08 10:00:00,18568.0
0.0,0.0,0.0,0.013068108664864169,0.0,0.0,0.012617484228144715,0.17658040427449465,0.7813827732715334,0.0,0.01635122956096305,2024-03-08 11:00:00,15534.0
0.0,0.0,0.0,0.014398184268387829,0.0,0.0,0.012128519753173984,0.19285055677707638,0.7631746932406553,0.0,0.017448045960706433,2024-03-08 12:00:00,14099.0
0.0,0.0,0.0,0.015077243018419489,0.0,0.0,0.012551990493166965,0.20060903149138443,0.7542335115864528,0.0,0.017528223410576353,2024-03-08 13:00:00,13464.0
0.0,0.0,0.0,0.01546936311500151,0.0,0.0,0.01252641110775732,0.20668578327799578,0.7500754603078781,0.0,0.01524298219136734,2024-03-08 14:00:00,13252.0
0.0,0.0,0.0,0.014723664556511843,0.0,0.0,0.012945444199445195,0.19638665623444057,0.7595134789103065,0.0,0.016430756099295826,2024-03-08 15:00:00,14059.0
0.0,0.0,0.0,0.012962414915655519,0.0,0.0,0.018703758508434448,0.16602545131695767,0.787984610831607,0.0,0.014323764427345368,2024-03-08 16:00:00,16895.0
0.0,0.0,0.0,0.01041022959547464,0.0,0.0,0.01972714740694966,0.13637876123021345,0.8209345438988449,0.0,0.012549317868517373,2024-03-08 17:00:00,21037.0
0.0,0.0,0.0,0.00937744204219849,0.0,0.0,0.026048450117218024,0.12624815490145003,0.8200486237735521,0.0,0.018277329165581314,2024-03-08 18:00:00,23034.0
0.0,0.0,0.0,0.009750527055516515,0.0,0.0,0.03338018271257906,0.12640548137737176,0.8059996486296557,0.0,0.024464160224877022,2024-03-08 19:00:00,22768.0
0.0,0.0,0.0,0.009896091044037604,0.0,0.0,0.033106922765507626,0.1279294678601952,0.7967702757410823,0.0,0.03229724258917727,2024-03-08 20:00:00,22231.0
0.0,0.0,0.0,0.010467652047492126,0.0,0.0,0.0314514174945481,0.13196026169130118,0.7840077538163315,0.0,0.04211291495032712,2024-03-08 21:00:00,20635.0
0.0,0.0,0.0,0.01160092807424594,0.0,0.0,0.029793292554313434,0.14237502636574562,0.7612845391267665,0.0,0.05494621387892849,2024-03-08 22:00:00,18964.0
0.0,0.0,0.0,0.012298487618414492,0.0,0.0,0.019611101878012297,0.14924380920724614,0.7562461913467398,0.0,0.06260040994958728,2024-03-08 23:00:00,18051.0
0.0,0.0,0.0,0.013842988090041778,0.0,0.0,0.009665149342146287,0.16474402943193864,0.7362349566627174,0.0,0.07551287647315583,2024-03-09 00:00:00,16037.0
0.0,0.0,0.0,0.015379310344827587,0.0,0.0,0.004827586206896552,0.18124137931034484,0.7122758620689655,0.0,0.08627586206896552,2024-03-09 01:00:00,14500.0
0.0,0.0,0.0,0.016179351374882103,0.0,0.0,0.0051512733076978885,0.19001668722339113,0.6917942392802728,0.0,0.09685844881375608,2024-03-09 02:00:00,13783.0
0.0,0.0,0.0,0.01679790026246719,0.0,0.0,0.005324334458192726,0.19197600299962506,0.6825646794150732,0.0,0.10333708286464192,2024-03-09 03:00:00,13335.0
0.0,0.0,0.0,0.018193424832428983,0.0,0.0,0.004308969039259496,0.20052665177146506,0.6655761251196936,0.0,0.1113948292371529,2024-03-09 04:00:00,12532.0
0.0,0.0,0.0,0.01811248808388942,0.0,0.0,0.004289799809342231,0.19741023196695265,0.6572132189386718,0.0,0.12297426120114395,2024-03-09 05:00:00,12588.0
0.0,0.0,0.0,0.016981275111818666,0.0,0.0,0.0040937002501705705,0.19020544310514745,0.6600712607080585,0.0,0.1286483208248048,2024-03-09 06:00:00,13191.0
0.0,0.0,0.0,0.015500628403854211,0.0,0.0,0.003770423125261835,0.17434715821812596,0.6768607736349672,0.0,0.1295210166177908,2024-03-09 07:00:00,14322.0
0.0,0.0,0.0,0.015126283652511795,0.0,0.0,0.003746877601998335,0.17249514293644186,0.679225645295587,0.0,0.12940605051346102,2024-03-09 08:00:00,14412.0
0.0,0.0,0.0,0.015611448395490026,0.0,0.0,0.0039028620988725065,0.17584562012142238,0.6607400982943047,0.0,0.14389997108991037,2024-03-09 09:00:00,13836.0
0.0,0.0,0.0,0.016772572779666026,0.0,0.0,0.003989951233929363,0.17622284616521353,0.6341805822373282,0.0,0.16883404758386286,2024-03-09 10:00:00,13534.0
0.0,0.0,0.0,0.016643346343618824,0.0,0.0,0.003976728772369099,0.1751969953604831,0.6260402091464762,0.0,0.1781427203770528,2024-03-09 11:00:00,13579.0
0.0,0.0,0.0,0.01717101717101717,0.0,0.0,0.004081004081004081,0.1804881804881805,0.5970585970585971,0.0,0.2012012012012012,2024-03-09 12:00:00,12987.0
0.0,0.0,0.0,0.01667428049337597,0.0,0.0,0.004111466423024212,0.17839195979899497,0.5931171006547891,0.0,0.20770519262981574,2024-03-09 13:00:00,13134.0
0.0,0.0,0.0,0.016357769940721842,0.0,0.0,0.004051924664215502,0.17535829519021534,0.5971336384782772,0.0,0.2070983717265701,2024-03-09 14:00:00,13327.0
0.0,0.0,0.0,0.016618443504711033,0.0,0.0,0.003932042436382521,0.1753839305586468,0.604421693003932,0.0,0.1996438904963276,2024-03-09 15:00:00,13479.0
0.0,0.0,0.0,0.014133833646028769,0.0,0.0,0.00969355847404628,0.15240775484677924,0.6543464665415885,0.0,0.16941838649155722,2024-03-09 16:00:00,15990.0
0.0,0.0,0.0,0.011151452282157677,0.0,0.0,0.016856846473029045,0.13060165975103735,0.6995331950207468,0.0,0.14185684647302904,2024-03-09 17:00:00,19280.0
0.0,0.0,0.0,0.010573872921272709,0.0,0.0,0.015812746323176006,0.12140728635970394,0.7172930885321542,0.0,0.13491300586369318,2024-03-09 18:00:00,20806.0
0.0,0.0,0.0,0.010825903791515627,0.0,0.0,0.01596943274223572,0.12334672283726854,0.707406681689037,0.0,0.14245125893994318,2024-03-09 19:00:00,20414.0
0.0,0.0,0.0,0.01138353765323993,0.0,0.0,0.016998042649634285,0.1265066446893994,0.6966622025342536,0.0,0.14844957247347276,2024-03-09 20:00:00,19414.0
0.0,0.0,0.0,0.012072322670375522,0.0,0.0,0.017301808066759388,0.1336856745479833,0.6767176634214186,0.0,0.16022253129346314,2024-03-09 21:00:00,17975.0
0.0,0.0,0.0,0.012843276515151516,0.0,0.0,0.009706439393939394,0.1416903409090909,0.6654829545454546,0.0,0.17027698863636365,2024-03-09 22:00:00,16896.0
0.0,0.0,0.0,0.01389151985855907,0.0,0.0,0.0032834501483866895,0.14908126539117256,0.650565132285155,0.0,0.18317863231672665,2024-03-09 23:00:00,15837.0
0.0,0.0,0.0,0.015432525951557093,0.0,0.0,0.0036678200692041524,0.15875432525951558,0.6234602076124568,0.0,0.19868512110726644,2024-03-10 00:00:00,14450.0
0.0,0.0,0.0,0.015456182472989195,0.0,0.0,0.0039015606242496998,0.1718937575030012,0.5901860744297719,0.0,0.21856242496998798,2024-03-10 01:00:00,13328.0
0.0,0.0,0.0,0.016545440012788747,0.0,0.0,0.004156342418671569,0.17976180960754537,0.5716569418911358,0.0,0.22787946606985854,2024-03-10 02:00:00,12511.0
0.0,0.0,0.0,0.017077798861480076,0.0,0.0,0.0043725765200891015,0.1850507383879218,0.5634023595412919,0.0,0.23009652668921707,2024-03-10 03:00:00,12121.0
0.0,0.0,0.0,0.01727447216890595,0.0,0.0,0.0043394809313193694,0.18584661603938912,0.5615455228240007,0.0,0.23099390803638487,2024-03-10 04:00:00,11983.0
0.0,0.0,0.0,0.016846581615963363,0.0,0.0,0.004252535165194635,0.18032384690873404,0.5754824991822047,0.0,0.22309453712790317,2024-03-10 05:00:00,12228.0
0.0,0.0,0.0,0.016730285064565906,0.0,0.0,0.0042231787541622675,0.1771298627466905,0.5810119386014782,0.0,0.22090473483310322,2024-03-10 06:00:00,12313.0
0.0,0.0,0.0,0.016060387055328033,0.0,0.0,0.004175700634385288,0.17682486147916165,0.5986509274873525,0.0,0.20428812334377258,2024-03-10 07:00:00,12453.0
0.0,0.0,0.0,0.016401549493117944,0.0,0.0,0.004285832028352427,0.18387867798565893,0.5909503008324405,0.0,0.20448363966043023,2024-03-10 08:00:00,12133.0
