"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Norway (NO)","19.09.2024 17:00 - 19.09.2024 18:00 (CET/CEST)","0","n/e","n/e","n/e","186","n/e","n/e","n/e","n/e","n/e","188","","3426","11433","n/e","n/e","0","47","0","39","n/e","1347"
"Norway (NO)","19.09.2024 18:00 - 19.09.2024 19:00 (CET/CEST)","0","n/e","n/e","n/e","189","n/e","n/e","n/e","n/e","n/e","189","","3443","11430","n/e","n/e","0","45","0","37","n/e","1265"
"Norway (NO)","19.09.2024 19:00 - 19.09.2024 20:00 (CET/CEST)","0","n/e","n/e","n/e","191","n/e","n/e","n/e","n/e","n/e","190","","3449","11333","n/e","n/e","0","53","0","40","n/e","1244"
"Norway (NO)","19.09.2024 20:00 - 19.09.2024 21:00 (CET/CEST)","0","n/e","n/e","n/e","195","n/e","n/e","n/e","n/e","n/e","189","","3436","11242","n/e","n/e","0","52","0","37","n/e","1170"
"Norway (NO)","19.09.2024 21:00 - 19.09.2024 22:00 (CET/CEST)","0","n/e","n/e","n/e","204","n/e","n/e","n/e","n/e","n/e","188","","3424","11012","n/e","n/e","0","43","0","37","n/e","1068"
"Norway (NO)","19.09.2024 22:00 - 19.09.2024 23:00 (CET/CEST)","0","n/e","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","211","","3425","10309","n/e","n/e","0","46","0","33","n/e","1052"
"Norway (NO)","19.09.2024 23:00 - 20.09.2024 00:00 (CET/CEST)","0","n/e","n/e","n/e","203","n/e","n/e","n/e","n/e","n/e","231","","3425","9791","n/e","n/e","0","50","0","32","n/e","973"
"Norway (NO)","20.09.2024 00:00 - 20.09.2024 01:00 (CET/CEST)","0","n/e","n/e","n/e","202","n/e","n/e","n/e","n/e","n/e","157","","3403","9671","n/e","n/e","0","36","0","32","n/e","845"
"Norway (NO)","20.09.2024 01:00 - 20.09.2024 02:00 (CET/CEST)","0","n/e","n/e","n/e","201","n/e","n/e","n/e","n/e","n/e","196","","3387","9455","n/e","n/e","0","37","0","35","n/e","734"
"Norway (NO)","20.09.2024 02:00 - 20.09.2024 03:00 (CET/CEST)","0","n/e","n/e","n/e","193","n/e","n/e","n/e","n/e","n/e","185","","3410","9312","n/e","n/e","0","46","0","33","n/e","711"
"Norway (NO)","20.09.2024 03:00 - 20.09.2024 04:00 (CET/CEST)","0","n/e","n/e","n/e","196","n/e","n/e","n/e","n/e","n/e","183","","3412","9515","n/e","n/e","0","47","0","33","n/e","609"
