"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Norway (NO)","27.03.2024 12:00 - 27.03.2024 13:00 (CET/CEST)","0","n/e","n/e","n/e","220","n/e","n/e","n/e","n/e","n/e","208","","2651","14767","n/e","n/e","0","27","n/e","46","n/e","2261"
"Norway (NO)","27.03.2024 13:00 - 27.03.2024 14:00 (CET/CEST)","0","n/e","n/e","n/e","220","n/e","n/e","n/e","n/e","n/e","214","","2685","15259","n/e","n/e","0","26","n/e","50","n/e","2036"
"Norway (NO)","27.03.2024 14:00 - 27.03.2024 15:00 (CET/CEST)","0","n/e","n/e","n/e","219","n/e","n/e","n/e","n/e","n/e","273","","2689","15548","n/e","n/e","0","25","n/e","48","n/e","2014"
"Norway (NO)","27.03.2024 15:00 - 27.03.2024 16:00 (CET/CEST)","0","n/e","n/e","n/e","214","n/e","n/e","n/e","n/e","n/e","311","","2667","16105","n/e","n/e","0","22","n/e","48","n/e","1988"
"Norway (NO)","27.03.2024 16:00 - 27.03.2024 17:00 (CET/CEST)","0","n/e","n/e","n/e","214","n/e","n/e","n/e","n/e","n/e","293","","2675","16535","n/e","n/e","0","22","n/e","48","n/e","2039"
"Norway (NO)","27.03.2024 17:00 - 27.03.2024 18:00 (CET/CEST)","0","n/e","n/e","n/e","215","n/e","n/e","n/e","n/e","n/e","309","","2709","16563","n/e","n/e","0","27","n/e","45","n/e","2195"
"Norway (NO)","27.03.2024 18:00 - 27.03.2024 19:00 (CET/CEST)","0","n/e","n/e","n/e","218","n/e","n/e","n/e","n/e","n/e","300","","2684","16329","n/e","n/e","0","27","n/e","41","n/e","2391"
"Norway (NO)","27.03.2024 19:00 - 27.03.2024 20:00 (CET/CEST)","0","n/e","n/e","n/e","219","n/e","n/e","n/e","n/e","n/e","296","","2668","16113","n/e","n/e","0","25","n/e","42","n/e","2562"
"Norway (NO)","27.03.2024 20:00 - 27.03.2024 21:00 (CET/CEST)","0","n/e","n/e","n/e","218","n/e","n/e","n/e","n/e","n/e","303","","2691","16018","n/e","n/e","0","25","n/e","43","n/e","2523"
"Norway (NO)","27.03.2024 21:00 - 27.03.2024 22:00 (CET/CEST)","0","n/e","n/e","n/e","217","n/e","n/e","n/e","n/e","n/e","305","","2700","15681","n/e","n/e","0","25","n/e","42","n/e","2457"
"Norway (NO)","27.03.2024 22:00 - 27.03.2024 23:00 (CET/CEST)","0","n/e","n/e","n/e","216","n/e","n/e","n/e","n/e","n/e","305","","2654","15211","n/e","n/e","0","27","n/e","43","n/e","2301"
"Norway (NO)","27.03.2024 23:00 - 28.03.2024 00:00 (CET/CEST)","0","n/e","n/e","n/e","216","n/e","n/e","n/e","n/e","n/e","292","","2671","14770","n/e","n/e","0","23","n/e","43","n/e","2067"
"Norway (NO)","28.03.2024 00:00 - 28.03.2024 01:00 (CET/CEST)","0","n/e","n/e","n/e","216","n/e","n/e","n/e","n/e","n/e","241","","2658","14342","n/e","n/e","0","21","n/e","43","n/e","1692"
"Norway (NO)","28.03.2024 01:00 - 28.03.2024 02:00 (CET/CEST)","0","n/e","n/e","n/e","216","n/e","n/e","n/e","n/e","n/e","163","","2641","13969","n/e","n/e","0","26","n/e","37","n/e","1486"
"Norway (NO)","28.03.2024 02:00 - 28.03.2024 03:00 (CET/CEST)","0","n/e","n/e","n/e","216","n/e","n/e","n/e","n/e","n/e","168","","2661","12909","n/e","n/e","0","26","n/e","33","n/e","1277"
"Norway (NO)","28.03.2024 03:00 - 28.03.2024 04:00 (CET/CEST)","0","n/e","n/e","n/e","216","n/e","n/e","n/e","n/e","n/e","166","","2638","12629","n/e","n/e","0","22","n/e","39","n/e","959"
"Norway (NO)","28.03.2024 04:00 - 28.03.2024 05:00 (CET/CEST)","0","n/e","n/e","n/e","216","n/e","n/e","n/e","n/e","n/e","177","","2636","12475","n/e","n/e","0","23","n/e","37","n/e","766"
"Norway (NO)","28.03.2024 05:00 - 28.03.2024 06:00 (CET/CEST)","0","n/e","n/e","n/e","216","n/e","n/e","n/e","n/e","n/e","182","","2648","13161","n/e","n/e","0","27","n/e","40","n/e","806"
"Norway (NO)","28.03.2024 06:00 - 28.03.2024 07:00 (CET/CEST)","0","n/e","n/e","n/e","216","n/e","n/e","n/e","n/e","n/e","196","","2660","14802","n/e","n/e","0","26","n/e","43","n/e","831"
"Norway (NO)","28.03.2024 07:00 - 28.03.2024 08:00 (CET/CEST)","0","n/e","n/e","n/e","219","n/e","n/e","n/e","n/e","n/e","246","","2706","15385","n/e","n/e","0","26","n/e","43","n/e","801"
"Norway (NO)","28.03.2024 08:00 - 28.03.2024 09:00 (CET/CEST)","0","n/e","n/e","n/e","221","n/e","n/e","n/e","n/e","n/e","183","","2727","14867","n/e","n/e","0","26","n/e","43","n/e","871"
"Norway (NO)","28.03.2024 09:00 - 28.03.2024 10:00 (CET/CEST)","0","n/e","n/e","n/e","226","n/e","n/e","n/e","n/e","n/e","178","","2736","13704","n/e","n/e","0","26","n/e","42","n/e","935"
"Norway (NO)","28.03.2024 10:00 - 28.03.2024 11:00 (CET/CEST)","0","n/e","n/e","n/e","224","n/e","n/e","n/e","n/e","n/e","91","","2707","11995","n/e","n/e","0","25","n/e","45","n/e","983"
"Norway (NO)","28.03.2024 11:00 - 28.03.2024 12:00 (CET/CEST)","0","n/e","n/e","n/e","217","n/e","n/e","n/e","n/e","n/e","63","","2732","10832","n/e","n/e","0","24","n/e","45","n/e","963"
"Norway (NO)","28.03.2024 12:00 - 28.03.2024 13:00 (CET/CEST)","0","n/e","n/e","n/e","218","n/e","n/e","n/e","n/e","n/e","55","","2697","10475","n/e","n/e","0","26","n/e","54","n/e","1029"
"Norway (NO)","28.03.2024 13:00 - 28.03.2024 14:00 (CET/CEST)","0","n/e","n/e","n/e","217","n/e","n/e","n/e","n/e","n/e","54","","2657","10012","n/e","n/e","0","25","n/e","50","n/e","998"
"Norway (NO)","28.03.2024 14:00 - 28.03.2024 15:00 (CET/CEST)","0","n/e","n/e","n/e","217","n/e","n/e","n/e","n/e","n/e","55","","2635","8795","n/e","n/e","0","34","n/e","50","n/e","1060"
"Norway (NO)","28.03.2024 15:00 - 28.03.2024 16:00 (CET/CEST)","0","n/e","n/e","n/e","215","n/e","n/e","n/e","n/e","n/e","56","","2616","9047","n/e","n/e","0","26","n/e","51","n/e","1142"
"Norway (NO)","28.03.2024 16:00 - 28.03.2024 17:00 (CET/CEST)","0","n/e","n/e","n/e","215","n/e","n/e","n/e","n/e","n/e","45","","2659","10550","n/e","n/e","0","13","n/e","51","n/e","1271"
"Norway (NO)","28.03.2024 17:00 - 28.03.2024 18:00 (CET/CEST)","0","n/e","n/e","n/e","215","n/e","n/e","n/e","n/e","n/e","43","","2706","11680","n/e","n/e","0","26","n/e","49","n/e","1441"
"Norway (NO)","28.03.2024 18:00 - 28.03.2024 19:00 (CET/CEST)","0","n/e","n/e","n/e","217","n/e","n/e","n/e","n/e","n/e","44","","2782","13357","n/e","n/e","0","27","n/e","49","n/e","1663"
"Norway (NO)","28.03.2024 19:00 - 28.03.2024 20:00 (CET/CEST)","0","n/e","n/e","n/e","220","n/e","n/e","n/e","n/e","n/e","44","","2744","13476","n/e","n/e","0","27","n/e","48","n/e","1927"
"Norway (NO)","28.03.2024 20:00 - 28.03.2024 21:00 (CET/CEST)","0","n/e","n/e","n/e","211","n/e","n/e","n/e","n/e","n/e","44","","2739","11455","n/e","n/e","0","24","n/e","47","n/e","1991"
"Norway (NO)","28.03.2024 21:00 - 28.03.2024 22:00 (CET/CEST)","0","n/e","n/e","n/e","209","n/e","n/e","n/e","n/e","n/e","45","","2720","9576","n/e","n/e","0","26","n/e","50","n/e","2122"
"Norway (NO)","28.03.2024 22:00 - 28.03.2024 23:00 (CET/CEST)","0","n/e","n/e","n/e","209","n/e","n/e","n/e","n/e","n/e","36","","2680","7801","n/e","n/e","0","25","n/e","50","n/e","2204"
"Norway (NO)","28.03.2024 23:00 - 29.03.2024 00:00 (CET/CEST)","0","n/e","n/e","n/e","212","n/e","n/e","n/e","n/e","n/e","35","","2663","6236","n/e","n/e","0","21","n/e","51","n/e","2241"
"Norway (NO)","29.03.2024 00:00 - 29.03.2024 01:00 (CET/CEST)","0","n/e","n/e","n/e","215","n/e","n/e","n/e","n/e","n/e","34","","2605","4837","n/e","n/e","0","19","n/e","49","n/e","2072"
"Norway (NO)","29.03.2024 01:00 - 29.03.2024 02:00 (CET/CEST)","0","n/e","n/e","n/e","222","n/e","n/e","n/e","n/e","n/e","36","","2625","4471","n/e","n/e","0","21","n/e","46","n/e","2227"
"Norway (NO)","29.03.2024 02:00 - 29.03.2024 03:00 (CET/CEST)","0","n/e","n/e","n/e","226","n/e","n/e","n/e","n/e","n/e","35","","2640","4245","n/e","n/e","0","24","n/e","44","n/e","2510"
"Norway (NO)","29.03.2024 03:00 - 29.03.2024 04:00 (CET/CEST)","0","n/e","n/e","n/e","225","n/e","n/e","n/e","n/e","n/e","35","","2639","4276","n/e","n/e","0","24","n/e","45","n/e","2594"
"Norway (NO)","29.03.2024 04:00 - 29.03.2024 05:00 (CET/CEST)","0","n/e","n/e","n/e","226","n/e","n/e","n/e","n/e","n/e","33","","2641","4103","n/e","n/e","0","24","n/e","46","n/e","2705"
"Norway (NO)","29.03.2024 05:00 - 29.03.2024 06:00 (CET/CEST)","0","n/e","n/e","n/e","213","n/e","n/e","n/e","n/e","n/e","34","","2672","4048","n/e","n/e","0","24","n/e","46","n/e","2803"
"Norway (NO)","29.03.2024 06:00 - 29.03.2024 07:00 (CET/CEST)","0","n/e","n/e","n/e","213","n/e","n/e","n/e","n/e","n/e","34","","2685","4339","n/e","n/e","0","23","n/e","49","n/e","2508"
"Norway (NO)","29.03.2024 07:00 - 29.03.2024 08:00 (CET/CEST)","0","n/e","n/e","n/e","212","n/e","n/e","n/e","n/e","n/e","35","","2727","4979","n/e","n/e","0","23","n/e","50","n/e","2545"
"Norway (NO)","29.03.2024 08:00 - 29.03.2024 09:00 (CET/CEST)","0","n/e","n/e","n/e","212","n/e","n/e","n/e","n/e","n/e","35","","2748","5362","n/e","n/e","0","22","n/e","49","n/e","2711"
"Norway (NO)","29.03.2024 09:00 - 29.03.2024 10:00 (CET/CEST)","0","n/e","n/e","n/e","211","n/e","n/e","n/e","n/e","n/e","34","","2741","5077","n/e","n/e","0","24","n/e","48","n/e","2794"
"Norway (NO)","29.03.2024 10:00 - 29.03.2024 11:00 (CET/CEST)","0","n/e","n/e","n/e","211","n/e","n/e","n/e","n/e","n/e","34","","2714","5032","n/e","n/e","0","24","n/e","50","n/e","3166"
"Norway (NO)","29.03.2024 11:00 - 29.03.2024 12:00 (CET/CEST)","0","n/e","n/e","n/e","211","n/e","n/e","n/e","n/e","n/e","34","","2723","4838","n/e","n/e","0","21","n/e","51","n/e","3385"
"Norway (NO)","29.03.2024 12:00 - 29.03.2024 13:00 (CET/CEST)","0","n/e","n/e","n/e","212","n/e","n/e","n/e","n/e","n/e","34","","2733","4522","n/e","n/e","0","23","n/e","54","n/e","3350"
"Norway (NO)","29.03.2024 13:00 - 29.03.2024 14:00 (CET/CEST)","0","n/e","n/e","n/e","213","n/e","n/e","n/e","n/e","n/e","35","","2737","4851","n/e","n/e","0","22","n/e","51","n/e","2721"
"Norway (NO)","29.03.2024 14:00 - 29.03.2024 15:00 (CET/CEST)","0","n/e","n/e","n/e","214","n/e","n/e","n/e","n/e","n/e","34","","2767","5553","n/e","n/e","0","24","n/e","52","n/e","3031"
"Norway (NO)","29.03.2024 15:00 - 29.03.2024 16:00 (CET/CEST)","0","n/e","n/e","n/e","215","n/e","n/e","n/e","n/e","n/e","34","","2789","7760","n/e","n/e","0","22","n/e","54","n/e","2932"
"Norway (NO)","29.03.2024 16:00 - 29.03.2024 17:00 (CET/CEST)","0","n/e","n/e","n/e","219","n/e","n/e","n/e","n/e","n/e","43","","2857","10735","n/e","n/e","0","18","n/e","52","n/e","2836"
"Norway (NO)","29.03.2024 17:00 - 29.03.2024 18:00 (CET/CEST)","0","n/e","n/e","n/e","219","n/e","n/e","n/e","n/e","n/e","143","","2912","12474","n/e","n/e","0","24","n/e","50","n/e","2728"
"Norway (NO)","29.03.2024 18:00 - 29.03.2024 19:00 (CET/CEST)","0","n/e","n/e","n/e","214","n/e","n/e","n/e","n/e","n/e","195","","2933","14407","n/e","n/e","0","24","n/e","49","n/e","2655"
"Norway (NO)","29.03.2024 19:00 - 29.03.2024 20:00 (CET/CEST)","0","n/e","n/e","n/e","211","n/e","n/e","n/e","n/e","n/e","208","","2923","14656","n/e","n/e","0","21","n/e","45","n/e","2710"
"Norway (NO)","29.03.2024 20:00 - 29.03.2024 21:00 (CET/CEST)","0","n/e","n/e","n/e","211","n/e","n/e","n/e","n/e","n/e","208","","2949","14146","n/e","n/e","0","21","n/e","45","n/e","2564"
"Norway (NO)","29.03.2024 21:00 - 29.03.2024 22:00 (CET/CEST)","0","n/e","n/e","n/e","215","n/e","n/e","n/e","n/e","n/e","210","","2973","14101","n/e","n/e","0","22","n/e","50","n/e","2390"
"Norway (NO)","29.03.2024 22:00 - 29.03.2024 23:00 (CET/CEST)","0","n/e","n/e","n/e","214","n/e","n/e","n/e","n/e","n/e","205","","2947","13566","n/e","n/e","0","24","n/e","50","n/e","2308"
"Norway (NO)","29.03.2024 23:00 - 30.03.2024 00:00 (CET/CEST)","0","n/e","n/e","n/e","215","n/e","n/e","n/e","n/e","n/e","179","","2964","12918","n/e","n/e","0","19","n/e","45","n/e","2219"
"Norway (NO)","30.03.2024 00:00 - 30.03.2024 01:00 (CET/CEST)","0","n/e","n/e","n/e","212","n/e","n/e","n/e","n/e","n/e","163","","3058","12478","n/e","n/e","0","24","n/e","36","n/e","2217"
"Norway (NO)","30.03.2024 01:00 - 30.03.2024 02:00 (CET/CEST)","0","n/e","n/e","n/e","211","n/e","n/e","n/e","n/e","n/e","167","","3041","12423","n/e","n/e","0","25","n/e","36","n/e","2231"
"Norway (NO)","30.03.2024 02:00 - 30.03.2024 03:00 (CET/CEST)","0","n/e","n/e","n/e","210","n/e","n/e","n/e","n/e","n/e","167","","3037","12362","n/e","n/e","0","24","n/e","36","n/e","2161"
"Norway (NO)","30.03.2024 03:00 - 30.03.2024 04:00 (CET/CEST)","0","n/e","n/e","n/e","210","n/e","n/e","n/e","n/e","n/e","166","","3024","12341","n/e","n/e","0","20","n/e","37","n/e","2143"
"Norway (NO)","30.03.2024 04:00 - 30.03.2024 05:00 (CET/CEST)","0","n/e","n/e","n/e","213","n/e","n/e","n/e","n/e","n/e","156","","3018","12161","n/e","n/e","0","24","n/e","38","n/e","2042"
"Norway (NO)","30.03.2024 05:00 - 30.03.2024 06:00 (CET/CEST)","0","n/e","n/e","n/e","209","n/e","n/e","n/e","n/e","n/e","81","","3019","11791","n/e","n/e","0","18","n/e","37","n/e","1926"
"Norway (NO)","30.03.2024 06:00 - 30.03.2024 07:00 (CET/CEST)","0","n/e","n/e","n/e","210","n/e","n/e","n/e","n/e","n/e","44","","2995","11140","n/e","n/e","0","24","n/e","40","n/e","1845"
"Norway (NO)","30.03.2024 07:00 - 30.03.2024 08:00 (CET/CEST)","0","n/e","n/e","n/e","211","n/e","n/e","n/e","n/e","n/e","44","","2997","10138","n/e","n/e","0","31","n/e","41","n/e","1639"
"Norway (NO)","30.03.2024 08:00 - 30.03.2024 09:00 (CET/CEST)","0","n/e","n/e","n/e","213","n/e","n/e","n/e","n/e","n/e","45","","2977","9736","n/e","n/e","0","14","n/e","41","n/e","1531"
"Norway (NO)","30.03.2024 09:00 - 30.03.2024 10:00 (CET/CEST)","0","n/e","n/e","n/e","212","n/e","n/e","n/e","n/e","n/e","45","","2995","10386","n/e","n/e","0","26","n/e","40","n/e","1380"
"Norway (NO)","30.03.2024 10:00 - 30.03.2024 11:00 (CET/CEST)","0","n/e","n/e","n/e","208","n/e","n/e","n/e","n/e","n/e","45","","3014","10460","n/e","n/e","0","27","n/e","38","n/e","1301"
"Norway (NO)","30.03.2024 11:00 - 30.03.2024 12:00 (CET/CEST)","0","n/e","n/e","n/e","201","n/e","n/e","n/e","n/e","n/e","44","","2981","9413","n/e","n/e","0","34","n/e","42","n/e","1157"
"Norway (NO)","30.03.2024 12:00 - 30.03.2024 13:00 (CET/CEST)","0","n/e","n/e","n/e","212","n/e","n/e","n/e","n/e","n/e","58","","2965","8575","n/e","n/e","0","31","n/e","44","n/e","1076"
"Norway (NO)","30.03.2024 13:00 - 30.03.2024 14:00 (CET/CEST)","0","n/e","n/e","n/e","214","n/e","n/e","n/e","n/e","n/e","59","","2957","8608","n/e","n/e","0","33","n/e","42","n/e","1186"
"Norway (NO)","30.03.2024 14:00 - 30.03.2024 15:00 (CET/CEST)","0","n/e","n/e","n/e","213","n/e","n/e","n/e","n/e","n/e","59","","2959","10926","n/e","n/e","0","32","n/e","40","n/e","1180"
"Norway (NO)","30.03.2024 15:00 - 30.03.2024 16:00 (CET/CEST)","0","n/e","n/e","n/e","212","n/e","n/e","n/e","n/e","n/e","60","","2990","12496","n/e","n/e","0","29","n/e","37","n/e","1130"
"Norway (NO)","30.03.2024 16:00 - 30.03.2024 17:00 (CET/CEST)","0","n/e","n/e","n/e","213","n/e","n/e","n/e","n/e","n/e","58","","3054","12772","n/e","n/e","0","29","n/e","36","n/e","1110"
"Norway (NO)","30.03.2024 17:00 - 30.03.2024 18:00 (CET/CEST)","0","n/e","n/e","n/e","213","n/e","n/e","n/e","n/e","n/e","59","","3081","13632","n/e","n/e","0","29","n/e","39","n/e","1108"
"Norway (NO)","30.03.2024 18:00 - 30.03.2024 19:00 (CET/CEST)","0","n/e","n/e","n/e","212","n/e","n/e","n/e","n/e","n/e","193","","3117","14292","n/e","n/e","0","25","n/e","39","n/e","1072"
"Norway (NO)","30.03.2024 19:00 - 30.03.2024 20:00 (CET/CEST)","0","n/e","n/e","n/e","211","n/e","n/e","n/e","n/e","n/e","217","","3150","13998","n/e","n/e","0","28","n/e","39","n/e","1097"
"Norway (NO)","30.03.2024 20:00 - 30.03.2024 21:00 (CET/CEST)","0","n/e","n/e","n/e","211","n/e","n/e","n/e","n/e","n/e","206","","3127","13332","n/e","n/e","0","28","n/e","39","n/e","1230"
"Norway (NO)","30.03.2024 21:00 - 30.03.2024 22:00 (CET/CEST)","0","n/e","n/e","n/e","209","n/e","n/e","n/e","n/e","n/e","262","","3158","13144","n/e","n/e","0","28","n/e","38","n/e","1142"
"Norway (NO)","30.03.2024 22:00 - 30.03.2024 23:00 (CET/CEST)","0","n/e","n/e","n/e","211","n/e","n/e","n/e","n/e","n/e","262","","3160","13020","n/e","n/e","0","30","n/e","43","n/e","1067"
"Norway (NO)","30.03.2024 23:00 - 31.03.2024 00:00 (CET/CEST)","0","n/e","n/e","n/e","211","n/e","n/e","n/e","n/e","n/e","158","","3159","12606","n/e","n/e","0","27","n/e","45","n/e","920"
"Norway (NO)","31.03.2024 00:00 - 31.03.2024 01:00 (CET/CEST)","0","n/e","n/e","n/e","211","n/e","n/e","n/e","n/e","n/e","168","","3199","13227","n/e","n/e","0","30","n/e","44","n/e","663"
"Norway (NO)","31.03.2024 01:00 - 31.03.2024 02:00 (CET/CEST)","0","n/e","n/e","n/e","213","n/e","n/e","n/e","n/e","n/e","176","","3204","13349","n/e","n/e","0","31","n/e","38","n/e","456"
"Norway (NO)","31.03.2024 02:00 - 31.03.2024 03:00 (CET/CEST)","","","","","","","","","","","","","","","","","","","","","",""
"Norway (NO)","31.03.2024 03:00 - 31.03.2024 04:00 (CET/CEST)","0","n/e","n/e","n/e","214","n/e","n/e","n/e","n/e","n/e","168","","3204","13028","n/e","n/e","0","29","n/e","39","n/e","360"
"Norway (NO)","31.03.2024 04:00 - 31.03.2024 05:00 (CET/CEST)","0","n/e","n/e","n/e","214","n/e","n/e","n/e","n/e","n/e","161","","3199","12711","n/e","n/e","0","26","n/e","41","n/e","347"
"Norway (NO)","31.03.2024 05:00 - 31.03.2024 06:00 (CET/CEST)","0","n/e","n/e","n/e","206","n/e","n/e","n/e","n/e","n/e","162","","3229","13096","n/e","n/e","0","22","n/e","43","n/e","415"
"Norway (NO)","31.03.2024 06:00 - 31.03.2024 07:00 (CET/CEST)","0","n/e","n/e","n/e","213","n/e","n/e","n/e","n/e","n/e","159","","3236","11722","n/e","n/e","0","30","n/e","40","n/e","653"
"Norway (NO)","31.03.2024 07:00 - 31.03.2024 08:00 (CET/CEST)","0","n/e","n/e","n/e","203","n/e","n/e","n/e","n/e","n/e","60","","3247","11146","n/e","n/e","0","20","n/e","45","n/e","916"
"Norway (NO)","31.03.2024 08:00 - 31.03.2024 09:00 (CET/CEST)","0","n/e","n/e","n/e","202","n/e","n/e","n/e","n/e","n/e","62","","3222","10494","n/e","n/e","0","19","n/e","47","n/e","1062"
"Norway (NO)","31.03.2024 09:00 - 31.03.2024 10:00 (CET/CEST)","0","n/e","n/e","n/e","204","n/e","n/e","n/e","n/e","n/e","59","","3201","9608","n/e","n/e","0","21","n/e","48","n/e","1044"
"Norway (NO)","31.03.2024 10:00 - 31.03.2024 11:00 (CET/CEST)","0","n/e","n/e","n/e","211","n/e","n/e","n/e","n/e","n/e","83","","3234","9728","n/e","n/e","0","28","n/e","42","n/e","898"
"Norway (NO)","31.03.2024 11:00 - 31.03.2024 12:00 (CET/CEST)","0","n/e","n/e","n/e","203","n/e","n/e","n/e","n/e","n/e","112","","3248","8854","n/e","n/e","0","19","n/e","48","n/e","743"
"Norway (NO)","31.03.2024 12:00 - 31.03.2024 13:00 (CET/CEST)","0","n/e","n/e","n/e","214","n/e","n/e","n/e","n/e","n/e","59","","3209","7610","n/e","n/e","0","27","n/e","41","n/e","625"
"Norway (NO)","31.03.2024 13:00 - 31.03.2024 14:00 (CET/CEST)","0","n/e","n/e","n/e","204","n/e","n/e","n/e","n/e","n/e","61","","3207","7322","n/e","n/e","0","24","n/e","44","n/e","582"
"Norway (NO)","31.03.2024 14:00 - 31.03.2024 15:00 (CET/CEST)","0","n/e","n/e","n/e","211","n/e","n/e","n/e","n/e","n/e","60","","3171","7710","n/e","n/e","0","24","n/e","44","n/e","487"
"Norway (NO)","31.03.2024 15:00 - 31.03.2024 16:00 (CET/CEST)","0","n/e","n/e","n/e","206","n/e","n/e","n/e","n/e","n/e","58","","3178","7789","n/e","n/e","0","20","n/e","43","n/e","424"
"Norway (NO)","31.03.2024 16:00 - 31.03.2024 17:00 (CET/CEST)","0","n/e","n/e","n/e","209","n/e","n/e","n/e","n/e","n/e","57","","3195","9066","n/e","n/e","0","22","n/e","42","n/e","365"
"Norway (NO)","31.03.2024 17:00 - 31.03.2024 18:00 (CET/CEST)","0","n/e","n/e","n/e","212","n/e","n/e","n/e","n/e","n/e","125","","3245","11185","n/e","n/e","0","23","n/e","45","n/e","338"
"Norway (NO)","31.03.2024 18:00 - 31.03.2024 19:00 (CET/CEST)","0","n/e","n/e","n/e","213","n/e","n/e","n/e","n/e","n/e","294","","3293","13654","n/e","n/e","0","18","n/e","44","n/e","388"
"Norway (NO)","31.03.2024 19:00 - 31.03.2024 20:00 (CET/CEST)","0","n/e","n/e","n/e","214","n/e","n/e","n/e","n/e","n/e","306","","3340","15599","n/e","n/e","0","20","n/e","48","n/e","515"
"Norway (NO)","31.03.2024 20:00 - 31.03.2024 21:00 (CET/CEST)","0","n/e","n/e","n/e","213","n/e","n/e","n/e","n/e","n/e","432","","3340","15539","n/e","n/e","0","20","n/e","45","n/e","620"
"Norway (NO)","31.03.2024 21:00 - 31.03.2024 22:00 (CET/CEST)","0","n/e","n/e","n/e","204","n/e","n/e","n/e","n/e","n/e","375","","3353","15178","n/e","n/e","0","19","n/e","45","n/e","579"
"Norway (NO)","31.03.2024 22:00 - 31.03.2024 23:00 (CET/CEST)","0","n/e","n/e","n/e","206","n/e","n/e","n/e","n/e","n/e","296","","3366","14073","n/e","n/e","0","20","n/e","47","n/e","626"
"Norway (NO)","31.03.2024 23:00 - 01.04.2024 00:00 (CET/CEST)","0","n/e","n/e","n/e","209","n/e","n/e","n/e","n/e","n/e","167","","3345","11377","n/e","n/e","0","22","n/e","45","n/e","688"
"Norway (NO)","01.04.2024 00:00 - 01.04.2024 01:00 (CET/CEST)","0","n/e","n/e","n/e","204","n/e","n/e","n/e","n/e","n/e","59","","3390","9337","n/e","n/e","0","23","n/e","49","n/e","671"
"Norway (NO)","01.04.2024 01:00 - 01.04.2024 02:00 (CET/CEST)","0","n/e","n/e","n/e","198","n/e","n/e","n/e","n/e","n/e","58","","3327","7661","n/e","n/e","0","21","n/e","52","n/e","636"
"Norway (NO)","01.04.2024 02:00 - 01.04.2024 03:00 (CET/CEST)","0","n/e","n/e","n/e","205","n/e","n/e","n/e","n/e","n/e","58","","3304","7426","n/e","n/e","0","24","n/e","52","n/e","593"
"Norway (NO)","01.04.2024 03:00 - 01.04.2024 04:00 (CET/CEST)","0","n/e","n/e","n/e","206","n/e","n/e","n/e","n/e","n/e","58","","3264","7017","n/e","n/e","0","23","n/e","53","n/e","636"
"Norway (NO)","01.04.2024 04:00 - 01.04.2024 05:00 (CET/CEST)","0","n/e","n/e","n/e","206","n/e","n/e","n/e","n/e","n/e","59","","3240","7533","n/e","n/e","0","24","n/e","52","n/e","871"
"Norway (NO)","01.04.2024 05:00 - 01.04.2024 06:00 (CET/CEST)","0","n/e","n/e","n/e","202","n/e","n/e","n/e","n/e","n/e","58","","3239","9397","n/e","n/e","0","28","n/e","54","n/e","910"
"Norway (NO)","01.04.2024 06:00 - 01.04.2024 07:00 (CET/CEST)","0","n/e","n/e","n/e","201","n/e","n/e","n/e","n/e","n/e","59","","3233","10955","n/e","n/e","0","28","n/e","52","n/e","997"
"Norway (NO)","01.04.2024 07:00 - 01.04.2024 08:00 (CET/CEST)","0","n/e","n/e","n/e","201","n/e","n/e","n/e","n/e","n/e","58","","3258","12739","n/e","n/e","0","26","n/e","51","n/e","1167"
"Norway (NO)","01.04.2024 08:00 - 01.04.2024 09:00 (CET/CEST)","0","n/e","n/e","n/e","200","n/e","n/e","n/e","n/e","n/e","167","","3272","12720","n/e","n/e","0","26","n/e","51","n/e","1237"
"Norway (NO)","01.04.2024 09:00 - 01.04.2024 10:00 (CET/CEST)","0","n/e","n/e","n/e","199","n/e","n/e","n/e","n/e","n/e","168","","3219","12296","n/e","n/e","0","20","n/e","49","n/e","1247"
"Norway (NO)","01.04.2024 10:00 - 01.04.2024 11:00 (CET/CEST)","0","n/e","n/e","n/e","205","n/e","n/e","n/e","n/e","n/e","171","","3233","10903","n/e","n/e","0","20","n/e","50","n/e","1347"
"Norway (NO)","01.04.2024 11:00 - 01.04.2024 12:00 (CET/CEST)","0","n/e","n/e","n/e","195","n/e","n/e","n/e","n/e","n/e","167","","3226","9709","n/e","n/e","0","17","n/e","52","n/e","1446"
